ID,SeL,SeW,PeL,PeW
I001_setosa,51,35,14,02
I002_setosa,49,30,14,02
I003_setosa,47,32,13,02
I004_setosa,46,31,15,02
I005_setosa,50,36,14,02
I006_setosa,54,39,17,04
I007_setosa,46,34,14,03
I008_setosa,50,34,15,02
I009_setosa,44,29,14,02
I010_setosa,49,31,15,01
I011_setosa,54,37,15,02
I012_setosa,48,34,16,02
I013_setosa,48,30,14,01
I014_setosa,43,30,11,01
I015_setosa,58,40,12,02
I016_setosa,57,44,15,04
I017_setosa,54,39,13,04
I018_setosa,51,35,14,03
I019_setosa,57,38,17,03
I020_setosa,51,38,15,03
I021_setosa,54,34,17,02
I022_setosa,51,37,15,04
I023_setosa,46,36,10,02
I024_setosa,51,33,17,05
I025_setosa,48,34,19,02
I026_setosa,50,30,16,02
I027_setosa,50,34,16,04
I028_setosa,52,35,15,02
I029_setosa,52,34,14,02
I030_setosa,47,32,16,02
I031_setosa,48,31,16,02
I032_setosa,54,34,15,04
I033_setosa,52,41,15,01
I034_setosa,55,42,14,02
I035_setosa,49,31,15,02
I036_setosa,50,32,12,02
I037_setosa,55,35,13,02
I038_setosa,49,36,14,01
I039_setosa,44,30,13,02
I040_setosa,51,34,15,02
I041_setosa,50,35,13,03
I042_setosa,45,23,13,03
I043_setosa,44,32,13,02
I044_setosa,50,35,16,06
I045_setosa,51,38,19,04
I046_setosa,48,30,14,03
I047_setosa,51,38,16,02
I048_setosa,46,32,14,02
I049_setosa,53,37,15,02
I050_setosa,50,33,14,02
I051_versicolor,70,32,47,14
I052_versicolor,64,32,45,15
I053_versicolor,69,31,49,15
I054_versicolor,55,23,40,13
I055_versicolor,65,28,46,15
I056_versicolor,57,28,45,13
I057_versicolor,63,33,47,16
I058_versicolor,49,24,33,10
I059_versicolor,66,29,46,13
I060_versicolor,52,27,39,14
I061_versicolor,50,20,35,10
I062_versicolor,59,30,42,15
I063_versicolor,60,22,40,10
I064_versicolor,61,29,47,14
I065_versicolor,56,29,36,13
I066_versicolor,67,31,44,14
I067_versicolor,56,30,45,15
I068_versicolor,58,27,41,10
I069_versicolor,62,22,45,15
I070_versicolor,56,25,39,11
I071_versicolor,59,32,48,18
I072_versicolor,61,28,40,13
I073_versicolor,63,25,49,15
I074_versicolor,61,28,47,12
I075_versicolor,64,29,43,13
I076_versicolor,66,30,44,14
I077_versicolor,68,28,48,14
I078_versicolor,67,30,50,17
I079_versicolor,60,29,45,15
I080_versicolor,57,26,35,10
I081_versicolor,55,24,38,11
I082_versicolor,55,24,37,10
I083_versicolor,58,27,39,12
I084_versicolor,60,27,51,16
I085_versicolor,54,30,45,15
I086_versicolor,60,34,45,16
I087_versicolor,67,31,47,15
I088_versicolor,63,23,44,13
I089_versicolor,56,30,41,13
I090_versicolor,55,25,40,13
I091_versicolor,55,26,44,12
I092_versicolor,61,30,46,14
I093_versicolor,58,26,40,12
I094_versicolor,50,23,33,10
I095_versicolor,56,27,42,13
I096_versicolor,57,30,42,12
I097_versicolor,57,29,42,13
I098_versicolor,62,29,43,13
I099_versicolor,51,25,30,11
I100_versicolor,57,28,41,13
I101_virginica,63,33,60,25
I102_virginica,58,27,51,19
I103_virginica,71,30,59,21
I104_virginica,63,29,56,18
I105_virginica,65,30,58,22
I106_virginica,76,30,66,21
I107_virginica,49,25,45,17
I108_virginica,73,29,63,18
I109_virginica,67,25,58,18
I110_virginica,72,36,61,25
I111_virginica,65,32,51,20
I112_virginica,64,27,53,19
I113_virginica,68,30,55,21
I114_virginica,57,25,50,20
I115_virginica,58,28,51,24
I116_virginica,64,32,53,23
I117_virginica,65,30,55,18
I118_virginica,77,38,67,22
I119_virginica,77,26,69,23
I120_virginica,60,22,50,15
I121_virginica,69,32,57,23
I122_virginica,56,28,49,20
I123_virginica,77,28,67,20
I124_virginica,63,27,49,18
I125_virginica,67,33,57,21
I126_virginica,72,32,60,18
I127_virginica,62,28,48,18
I128_virginica,61,30,49,18
I129_virginica,64,28,56,21
I130_virginica,72,30,58,16
I131_virginica,74,28,61,19
I132_virginica,79,38,64,20
I133_virginica,64,28,56,22
I134_virginica,63,28,51,15
I135_virginica,61,26,56,14
I136_virginica,77,30,61,23
I137_virginica,63,34,56,24
I138_virginica,64,31,55,18
I139_virginica,60,30,48,18
I140_virginica,69,31,54,21
I141_virginica,67,31,56,24
I142_virginica,69,31,51,23
I143_virginica,58,27,51,19
I144_virginica,68,32,59,23
I145_virginica,67,33,57,25
I146_virginica,67,30,52,23
I147_virginica,63,25,50,19
I148_virginica,65,30,52,20
I149_virginica,62,34,54,23
I150_virginica,59,30,51,18